"pt.names","sp.names"
"P_Acer","P_Acer.campestre"
"P_Acer","P_Acer.platanoides"
"P_Acer","P_Acer.pseudoplatanus"
"P_Aesculus","P_Aesculus.hippocastanum"
"P_Brassicaceae","P_Alliaria.petiolata"
"P_Brassicaceae","P_Barbarea.vulgaris"
"P_Brassicaceae","P_Brassica.napus"
"P_Brassicaceae","P_Capsella.bursa.pastoris"
"P_Brassicaceae","P_Cardamine.pratensis"
"P_Brassicaceae","P_Hesperis.matronalis"
"P_Brassicaceae","P_Thlaspi.arvense"
"P_Centaurea.cyanus","P_Centaurea.cyanus"
"P_Cytisus","P_Cytisus.scoparius"
"P_Glechoma.hederacea","P_Glechoma.hederacea"
"P_Laburnum","P_Laburnum.sp"
"P_Lamium","P_Lamiastrum.galeobdolon"
"P_Lamium","P_Lamium.album"
"P_Lamium","P_Lamium.hybridum"
"P_Lamium","P_Lamium.purpureum"
"P_Lonicera","P_Knautia.arvensis"
"P_Lonicera","P_Kolkwitzia.amabilis"
"P_Lonicera","P_Lonicera.caprifolium"
"P_Lonicera","P_Lonicera.periclymenum"
"P_Lonicera","P_Lonicera.tatarica"
"P_Lonicera","P_Lonicera.xylosteum"
"P_Lonicera","P_Valeriana.dioica"
"P_Lupinus","P_Lupinus.polyphyllus"
"P_Papaver","P_Chelidonium.majus"
"P_Papaver","P_Papaver.dubium"
"P_Papaver","P_Papaver.rhoeas"
"P_Phacelia","P_Phacelia.tanacetifolia"
"P_Pinaceae","P_Pinaceae"
"P_Potentilla.group","P_Fragaria.vesca"
"P_Potentilla.group","P_Geum.rivale"
"P_Potentilla.group","P_Geum.urbanum"
"P_Potentilla.group","P_Potentilla.group"
"P_Prunus.group","P_Amelanchier"
"P_Prunus.group","P_Cotoneaster"
"P_Prunus.group","P_Crataegus.laevigata"
"P_Prunus.group","P_Crataegus.monogyna"
"P_Prunus.group","P_Malus.domestica"
"P_Prunus.group","P_Prunus.avium"
"P_Prunus.group","P_Prunus.domestica"
"P_Prunus.group","P_Prunus.laurocerasus"
"P_Prunus.group","P_Prunus.padus"
"P_Prunus.group","P_Prunus.spinosa"
"P_Prunus.group","P_Pyrus.communis"
"P_Prunus.group","P_Sorbus.aucuparia"
"P_Prunus.groupB","P_Ribes.nigrum"
"P_Prunus.groupB","P_Ribes.rubrum"
"P_Prunus.groupB","P_Rosa.helenae"
"P_Prunus.groupB","P_Rosa.multiflora"
"P_Prunus.groupB","P_Rosa.rugosa"
"P_Prunus.groupB","P_Rubus.fruticosus"
"P_Prunus.groupB","P_Rubus.idaeus"
"P_Pulmonaria.group","P_Anchusa.officinalis"
"P_Quercus","P_Quercus.robur"
"P_Quercus","P_Quercus.rubra"
"P_Rhododendron","P_Rhododendron"
"P_Robinia","P_Robinia.pseudoacacia"
"P_Salix","P_Salix.alba"
"P_Salix","P_Salix.caprea"
"P_Salix","P_Salix.cinerea"
"P_Salix","P_Salix.euxina"
"P_Salix","P_Salix.repens"
"P_Salix","P_Salix.viminalis"
"P_Salix","P_Salix.x.fragilis"
"P_Sambucus","P_Sambucus.nigra"
"P_Symphytum","P_Symphytum.officinale"
"P_Symphytum","P_Symphytum.x.uplandicum"
"P_Taraxacum","P_Bellis.perennis"
"P_Taraxacum","P_Jacobaea.vulgaris"
"P_Taraxacum","P_Petasites.hybridus"
"P_Taraxacum","P_Pilosella.officinarum"
"P_Taraxacum","P_Senecio.leucanthemifolius"
"P_Taraxacum","P_Senecio.vulgaris"
"P_Taraxacum","P_Taraxacum"
"P_Taraxacum","P_Tussilago.farfara"
"P_Tilia","P_Tilia.cordata"
"P_Trifolium.pratense","P_Trifolium.pratense"
"P_Trifolium.repens.group","P_Trifolium.repens"
"P_Trifolium.repens.group","P_Trifolium.repens.group"
"P_Viola.arvensis.group","P_Viola.arvensis"
"P_Viola.arvensis.group","P_Viola.tricolor"
"P_zzRaisins","P_zzRaisins"
