"spec","ptype","n_samples","n_grains"
"Acer campestre","Acer",4,1173
"Acer platanoides","Acer",5,1828
"Acer pseudoplatanus","Acer",5,1395
"Aesculus hippocastanum","Aesculus",6,3515
"Alliaria petiolata","Brassicaceae",5,1562
"Barbarea vulgaris","Brassicaceae",5,1864
"Brassica napus","Brassicaceae",7,1896
"Capsella bursa-pastoris","Brassicaceae",3,1119
"Cardamine pratensis","Brassicaceae",5,1646
"Hesperis matronalis","Brassicaceae",4,1195
"Thlaspi arvense","Brassicaceae",2,1009
"Centaurea cyanus","Centaurea cyanus",5,2772
"Cytisus scoparius","Cytisus",7,2240
"Glechoma hederacea","Glechoma hederacea",6,2523
"Laburnum sp","Laburnum",6,2266
"Lamiastrum galeobdolon","Lamium",6,1805
"Lamium album","Lamium",5,1605
"Lamium hybridum","Lamium",5,724
"Lamium purpureum","Lamium",8,1315
"Knautia arvensis","Lonicera",7,622
"Kolkwitzia amabilis","Lonicera",4,1203
"Lonicera caprifolium","Lonicera",4,684
"Lonicera periclymenum","Lonicera",4,1331
"Lonicera tatarica","Lonicera",4,989
"Lonicera xylosteum","Lonicera",6,1922
"Valeriana dioica","Lonicera",2,1027
"Lupinus polyphyllus","Lupinus",8,3135
"Chelidonium majus","Papaver",4,1000
"Papaver dubium","Papaver",2,1000
"Papaver rhoeas","Papaver",5,1714
"Phacelia tanacetifolia","Phacelia",3,3670
"Pinaceae","Pinaceae",4,1006
"Fragaria vesca","Potentilla-group",4,1825
"Geum rivale","Potentilla-group",4,1559
"Geum urbanum","Potentilla-group",3,1081
"Potentilla-group","Potentilla-group",12,4429
"Amelanchier","Prunus-group",5,1369
"Cotoneaster","Prunus-group",6,1127
"Crataegus laevigata","Prunus-group",3,1612
"Crataegus monogyna","Prunus-group",6,1373
"Malus domestica","Prunus-group",5,2000
"Prunus avium","Prunus-group",5,2066
"Prunus domestica","Prunus-group",3,876
"Prunus laurocerasus","Prunus-group",3,1194
"Prunus padus","Prunus-group",4,1522
"Prunus spinosa","Prunus-group",5,1847
"Pyrus communis","Prunus-group",4,1626
"Sorbus aucuparia","Prunus-group",2,1510
"Ribes nigrum","Prunus-groupB",3,1095
"Ribes rubrum","Prunus-groupB",2,1044
"Rosa helenae","Prunus-groupB",3,1312
"Rosa multiflora","Prunus-groupB",2,1137
"Rosa rugosa","Prunus-groupB",2,1000
"Rubus fruticosus","Prunus-groupB",4,1956
"Rubus idaeus","Prunus-groupB",2,1000
"Anchusa officinalis","Pulmonaria-group",5,1567
"Quercus robur","Quercus",4,1187
"Quercus rubra","Quercus",2,1025
"Rhododendron","Rhododendron",5,1415
"Robinia pseudoacacia","Robinia",2,1027
"Salix alba","Salix",2,513
"Salix caprea","Salix",5,1783
"Salix cinerea","Salix",5,1282
"Salix euxina","Salix",4,1248
"Salix repens","Salix",2,1298
"Salix viminalis","Salix",3,1117
"Salix x fragilis","Salix",2,1026
"Sambucus nigra","Sambucus",5,1371
"Symphytum officinale","Symphytum",3,1364
"Symphytum x uplandicum","Symphytum",3,1106
"Bellis perennis","Taraxacum",2,1000
"Jacobaea vulgaris","Taraxacum",3,1000
"Petasites hybridus","Taraxacum",2,1029
"Pilosella officinarum","Taraxacum",3,1192
"Senecio leucanthemifolius","Taraxacum",2,1035
"Senecio vulgaris","Taraxacum",2,778
"Taraxacum","Taraxacum",5,1626
"Tussilago farfara","Taraxacum",4,1309
"Tilia cordata","Tilia",4,1132
"Trifolium pratense","Trifolium pratense",10,2395
"Trifolium repens","Trifolium repens-group",4,1384
"Viola arvensis","Viola arvensis-group",5,716
"Viola tricolor","Viola arvensis-group",5,1047
